target,feature,feature_origin,workflow_stage,leakage_level,rule_id,dependency_path
max_delta_volume,charge_formula_X_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_X_max -> target::max_delta_volume
max_delta_volume,charge_formula_X_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_X_mean -> target::max_delta_volume
max_delta_volume,charge_formula_X_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_X_min -> target::max_delta_volume
max_delta_volume,charge_formula_X_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_X_range -> target::max_delta_volume
max_delta_volume,charge_formula_X_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_X_std -> target::max_delta_volume
max_delta_volume,charge_formula_Z_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_Z_max -> target::max_delta_volume
max_delta_volume,charge_formula_Z_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_Z_mean -> target::max_delta_volume
max_delta_volume,charge_formula_Z_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_Z_min -> target::max_delta_volume
max_delta_volume,charge_formula_Z_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_Z_range -> target::max_delta_volume
max_delta_volume,charge_formula_Z_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_Z_std -> target::max_delta_volume
max_delta_volume,charge_formula_atomic_mass_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_max -> target::max_delta_volume
max_delta_volume,charge_formula_atomic_mass_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_mean -> target::max_delta_volume
max_delta_volume,charge_formula_atomic_mass_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_min -> target::max_delta_volume
max_delta_volume,charge_formula_atomic_mass_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_range -> target::max_delta_volume
max_delta_volume,charge_formula_atomic_mass_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_std -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Ag,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ag -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Al,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Al -> target::max_delta_volume
max_delta_volume,charge_formula_frac_As,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_As -> target::max_delta_volume
max_delta_volume,charge_formula_frac_B,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_B -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Br,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Br -> target::max_delta_volume
max_delta_volume,charge_formula_frac_C,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_C -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Ca,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ca -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Cl,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Cl -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Co,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Co -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Cr,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Cr -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Cu,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Cu -> target::max_delta_volume
max_delta_volume,charge_formula_frac_F,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_F -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Fe,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Fe -> target::max_delta_volume
max_delta_volume,charge_formula_frac_I,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_I -> target::max_delta_volume
max_delta_volume,charge_formula_frac_K,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_K -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Li,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Li -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Mg,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Mg -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Mn,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Mn -> target::max_delta_volume
max_delta_volume,charge_formula_frac_N,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_N -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Na,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Na -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Ni,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ni -> target::max_delta_volume
max_delta_volume,charge_formula_frac_O,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_O -> target::max_delta_volume
max_delta_volume,charge_formula_frac_P,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_P -> target::max_delta_volume
max_delta_volume,charge_formula_frac_S,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_S -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Si,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Si -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Ti,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ti -> target::max_delta_volume
max_delta_volume,charge_formula_frac_V,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_V -> target::max_delta_volume
max_delta_volume,charge_formula_frac_Zn,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Zn -> target::max_delta_volume
max_delta_volume,charge_formula_frac_transition_metals,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_frac_transition_metals -> target::max_delta_volume
max_delta_volume,charge_formula_group_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_group_max -> target::max_delta_volume
max_delta_volume,charge_formula_group_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_group_mean -> target::max_delta_volume
max_delta_volume,charge_formula_group_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_group_min -> target::max_delta_volume
max_delta_volume,charge_formula_group_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_group_range -> target::max_delta_volume
max_delta_volume,charge_formula_group_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_group_std -> target::max_delta_volume
max_delta_volume,charge_formula_has_Br,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_has_Br -> target::max_delta_volume
max_delta_volume,charge_formula_has_C,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_has_C -> target::max_delta_volume
max_delta_volume,charge_formula_has_Cl,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_has_Cl -> target::max_delta_volume
max_delta_volume,charge_formula_has_F,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_has_F -> target::max_delta_volume
max_delta_volume,charge_formula_has_I,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_has_I -> target::max_delta_volume
max_delta_volume,charge_formula_has_N,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_has_N -> target::max_delta_volume
max_delta_volume,charge_formula_has_O,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_has_O -> target::max_delta_volume
max_delta_volume,charge_formula_has_P,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_has_P -> target::max_delta_volume
max_delta_volume,charge_formula_has_S,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_has_S -> target::max_delta_volume
max_delta_volume,charge_formula_has_Si,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_has_Si -> target::max_delta_volume
max_delta_volume,charge_formula_n_atoms,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_n_atoms -> target::max_delta_volume
max_delta_volume,charge_formula_n_elements,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_n_elements -> target::max_delta_volume
max_delta_volume,charge_formula_n_transition_metals,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_n_transition_metals -> target::max_delta_volume
max_delta_volume,charge_formula_parse_ok,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_parse_ok -> target::max_delta_volume
max_delta_volume,charge_formula_row_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_row_max -> target::max_delta_volume
max_delta_volume,charge_formula_row_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_row_mean -> target::max_delta_volume
max_delta_volume,charge_formula_row_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_row_min -> target::max_delta_volume
max_delta_volume,charge_formula_row_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_row_range -> target::max_delta_volume
max_delta_volume,charge_formula_row_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::charge_formula_row_std -> target::max_delta_volume
max_delta_volume,charge_summary_band_gap,post_dft_electronic_summary,post_dft_electronic,L4,RULE_POST_DFT_ELECTRONIC,feature::charge_summary_band_gap -> concept::post_dft_record -> target::max_delta_volume
max_delta_volume,charge_summary_density,relaxed_structure_summary,relaxed_structure,L2,RULE_VOLUME_CHANGE,feature::charge_summary_density -> concept::volume_change_definition -> target::max_delta_volume
max_delta_volume,charge_summary_density_atomic,relaxed_structure_summary,relaxed_structure,L2,RULE_VOLUME_CHANGE,feature::charge_summary_density_atomic -> concept::volume_change_definition -> target::max_delta_volume
max_delta_volume,charge_summary_energy_above_hull,post_dft_energy_stability_summary,post_dft_thermodynamics,L4,RULE_HULL_OTHER,feature::charge_summary_energy_above_hull -> concept::post_dft_thermodynamics -> target::max_delta_volume
max_delta_volume,charge_summary_formation_energy_per_atom,post_dft_energy_stability_summary,post_dft_thermodynamics,L4,RULE_POST_DFT_ENERGY_DEFAULT,feature::charge_summary_formation_energy_per_atom -> concept::post_dft_thermodynamics -> target::max_delta_volume
max_delta_volume,charge_summary_is_metal,post_dft_electronic_summary,post_dft_electronic,L4,RULE_POST_DFT_ELECTRONIC,feature::charge_summary_is_metal -> concept::post_dft_record -> target::max_delta_volume
max_delta_volume,charge_summary_is_stable,post_dft_energy_stability_summary,post_dft_thermodynamics,L4,RULE_HULL_OTHER,feature::charge_summary_is_stable -> concept::post_dft_thermodynamics -> target::max_delta_volume
max_delta_volume,charge_summary_nsites,relaxed_structure_summary,relaxed_structure,L0,RULE_SAFE_STRUCTURE,feature::charge_summary_nsites -> target::max_delta_volume
max_delta_volume,charge_summary_symmetry_number,relaxed_structure_summary,relaxed_structure,L0,RULE_SAFE_STRUCTURE,feature::charge_summary_symmetry_number -> target::max_delta_volume
max_delta_volume,charge_summary_theoretical,post_dft_provenance_flag,post_dft_provenance,L4,RULE_POST_DFT_PROVENANCE,feature::charge_summary_theoretical -> concept::post_dft_record -> target::max_delta_volume
max_delta_volume,charge_summary_volume,relaxed_structure_summary,relaxed_structure,L2,RULE_VOLUME_CHANGE,feature::charge_summary_volume -> concept::volume_change_definition -> target::max_delta_volume
max_delta_volume,charge_summary_volume_per_site,relaxed_structure_summary,relaxed_structure,L2,RULE_VOLUME_CHANGE,feature::charge_summary_volume_per_site -> concept::volume_change_definition -> target::max_delta_volume
max_delta_volume,discharge_formula_X_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_X_max -> target::max_delta_volume
max_delta_volume,discharge_formula_X_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_X_mean -> target::max_delta_volume
max_delta_volume,discharge_formula_X_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_X_min -> target::max_delta_volume
max_delta_volume,discharge_formula_X_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_X_range -> target::max_delta_volume
max_delta_volume,discharge_formula_X_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_X_std -> target::max_delta_volume
max_delta_volume,discharge_formula_Z_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_Z_max -> target::max_delta_volume
max_delta_volume,discharge_formula_Z_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_Z_mean -> target::max_delta_volume
max_delta_volume,discharge_formula_Z_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_Z_min -> target::max_delta_volume
max_delta_volume,discharge_formula_Z_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_Z_range -> target::max_delta_volume
max_delta_volume,discharge_formula_Z_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_Z_std -> target::max_delta_volume
max_delta_volume,discharge_formula_atomic_mass_max,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_atomic_mass_max -> target::max_delta_volume
max_delta_volume,discharge_formula_atomic_mass_mean,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_atomic_mass_mean -> target::max_delta_volume
max_delta_volume,discharge_formula_atomic_mass_min,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_atomic_mass_min -> target::max_delta_volume
max_delta_volume,discharge_formula_atomic_mass_range,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_atomic_mass_range -> target::max_delta_volume
max_delta_volume,discharge_formula_atomic_mass_std,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_atomic_mass_std -> target::max_delta_volume
max_delta_volume,discharge_formula_frac_Ag,stoichiometric_window,electrode_state_stoichiometry,L0,RULE_SAFE_DEFAULT,feature::discharge_formula_frac_Ag -> target::max_delta_volume
