target,protocol,feature
stability_charge,P0,average_voltage
stability_charge,P0,capacity_grav
stability_charge,P0,capacity_vol
stability_charge,P0,energy_grav
stability_charge,P0,energy_vol
stability_charge,P0,max_delta_volume
stability_charge,P0,stability_discharge
stability_charge,P0,fracA_charge
stability_charge,P0,fracA_discharge
stability_charge,P0,num_steps
stability_charge,P0,max_voltage_step
stability_charge,P0,stability_worst
stability_charge,P0,fw_parse_ok
stability_charge,P0,fw_n_elements
stability_charge,P0,fw_n_atoms
stability_charge,P0,fw_frac_Li
stability_charge,P0,fw_frac_Na
stability_charge,P0,fw_frac_K
stability_charge,P0,fw_frac_O
stability_charge,P0,fw_frac_F
stability_charge,P0,fw_frac_P
stability_charge,P0,fw_frac_S
stability_charge,P0,fw_frac_Si
stability_charge,P0,fw_frac_C
stability_charge,P0,fw_frac_N
stability_charge,P0,fw_frac_B
stability_charge,P0,fw_frac_Cl
stability_charge,P0,fw_frac_Br
stability_charge,P0,fw_frac_I
stability_charge,P0,fw_frac_Mn
stability_charge,P0,fw_frac_Fe
stability_charge,P0,fw_frac_Co
stability_charge,P0,fw_frac_Ni
stability_charge,P0,fw_frac_Cu
stability_charge,P0,fw_frac_V
stability_charge,P0,fw_frac_Ti
stability_charge,P0,fw_frac_Cr
stability_charge,P0,fw_frac_Al
stability_charge,P0,fw_frac_Mg
stability_charge,P0,fw_frac_Ca
stability_charge,P0,fw_frac_Zn
stability_charge,P0,fw_frac_Ag
stability_charge,P0,fw_frac_As
stability_charge,P0,fw_Z_mean
stability_charge,P0,fw_Z_min
stability_charge,P0,fw_Z_max
stability_charge,P0,fw_Z_range
stability_charge,P0,fw_Z_std
stability_charge,P0,fw_atomic_mass_mean
stability_charge,P0,fw_atomic_mass_min
stability_charge,P0,fw_atomic_mass_max
stability_charge,P0,fw_atomic_mass_range
stability_charge,P0,fw_atomic_mass_std
stability_charge,P0,fw_X_mean
stability_charge,P0,fw_X_min
stability_charge,P0,fw_X_max
stability_charge,P0,fw_X_range
stability_charge,P0,fw_X_std
stability_charge,P0,fw_row_mean
stability_charge,P0,fw_row_min
stability_charge,P0,fw_row_max
stability_charge,P0,fw_row_range
stability_charge,P0,fw_row_std
stability_charge,P0,fw_group_mean
stability_charge,P0,fw_group_min
stability_charge,P0,fw_group_max
stability_charge,P0,fw_group_range
stability_charge,P0,fw_group_std
stability_charge,P0,fw_has_O
stability_charge,P0,fw_has_F
stability_charge,P0,fw_has_P
stability_charge,P0,fw_has_S
stability_charge,P0,fw_has_Si
stability_charge,P0,fw_has_C
stability_charge,P0,fw_has_N
stability_charge,P0,fw_has_Cl
stability_charge,P0,fw_has_Br
stability_charge,P0,fw_has_I
stability_charge,P0,fw_n_transition_metals
stability_charge,P0,fw_frac_transition_metals
stability_charge,P0,charge_formula_parse_ok
stability_charge,P0,charge_formula_n_elements
stability_charge,P0,charge_formula_n_atoms
stability_charge,P0,charge_formula_frac_Li
stability_charge,P0,charge_formula_frac_Na
stability_charge,P0,charge_formula_frac_K
stability_charge,P0,charge_formula_frac_O
stability_charge,P0,charge_formula_frac_F
stability_charge,P0,charge_formula_frac_P
stability_charge,P0,charge_formula_frac_S
stability_charge,P0,charge_formula_frac_Si
stability_charge,P0,charge_formula_frac_C
stability_charge,P0,charge_formula_frac_N
stability_charge,P0,charge_formula_frac_B
stability_charge,P0,charge_formula_frac_Cl
stability_charge,P0,charge_formula_frac_Br
stability_charge,P0,charge_formula_frac_I
stability_charge,P0,charge_formula_frac_Mn
stability_charge,P0,charge_formula_frac_Fe
stability_charge,P0,charge_formula_frac_Co
stability_charge,P0,charge_formula_frac_Ni
stability_charge,P0,charge_formula_frac_Cu
stability_charge,P0,charge_formula_frac_V
stability_charge,P0,charge_formula_frac_Ti
stability_charge,P0,charge_formula_frac_Cr
stability_charge,P0,charge_formula_frac_Al
stability_charge,P0,charge_formula_frac_Mg
stability_charge,P0,charge_formula_frac_Ca
stability_charge,P0,charge_formula_frac_Zn
stability_charge,P0,charge_formula_frac_Ag
stability_charge,P0,charge_formula_frac_As
stability_charge,P0,charge_formula_Z_mean
stability_charge,P0,charge_formula_Z_min
stability_charge,P0,charge_formula_Z_max
stability_charge,P0,charge_formula_Z_range
stability_charge,P0,charge_formula_Z_std
stability_charge,P0,charge_formula_atomic_mass_mean
stability_charge,P0,charge_formula_atomic_mass_min
stability_charge,P0,charge_formula_atomic_mass_max
stability_charge,P0,charge_formula_atomic_mass_range
stability_charge,P0,charge_formula_atomic_mass_std
stability_charge,P0,charge_formula_X_mean
stability_charge,P0,charge_formula_X_min
stability_charge,P0,charge_formula_X_max
stability_charge,P0,charge_formula_X_range
stability_charge,P0,charge_formula_X_std
stability_charge,P0,charge_formula_row_mean
stability_charge,P0,charge_formula_row_min
stability_charge,P0,charge_formula_row_max
stability_charge,P0,charge_formula_row_range
stability_charge,P0,charge_formula_row_std
stability_charge,P0,charge_formula_group_mean
stability_charge,P0,charge_formula_group_min
stability_charge,P0,charge_formula_group_max
stability_charge,P0,charge_formula_group_range
stability_charge,P0,charge_formula_group_std
stability_charge,P0,charge_formula_has_O
stability_charge,P0,charge_formula_has_F
stability_charge,P0,charge_formula_has_P
stability_charge,P0,charge_formula_has_S
stability_charge,P0,charge_formula_has_Si
stability_charge,P0,charge_formula_has_C
stability_charge,P0,charge_formula_has_N
stability_charge,P0,charge_formula_has_Cl
stability_charge,P0,charge_formula_has_Br
stability_charge,P0,charge_formula_has_I
stability_charge,P0,charge_formula_n_transition_metals
stability_charge,P0,charge_formula_frac_transition_metals
stability_charge,P0,discharge_formula_parse_ok
stability_charge,P0,discharge_formula_n_elements
stability_charge,P0,discharge_formula_n_atoms
stability_charge,P0,discharge_formula_frac_Li
stability_charge,P0,discharge_formula_frac_Na
stability_charge,P0,discharge_formula_frac_K
stability_charge,P0,discharge_formula_frac_O
stability_charge,P0,discharge_formula_frac_F
stability_charge,P0,discharge_formula_frac_P
stability_charge,P0,discharge_formula_frac_S
stability_charge,P0,discharge_formula_frac_Si
stability_charge,P0,discharge_formula_frac_C
stability_charge,P0,discharge_formula_frac_N
stability_charge,P0,discharge_formula_frac_B
stability_charge,P0,discharge_formula_frac_Cl
stability_charge,P0,discharge_formula_frac_Br
stability_charge,P0,discharge_formula_frac_I
stability_charge,P0,discharge_formula_frac_Mn
stability_charge,P0,discharge_formula_frac_Fe
stability_charge,P0,discharge_formula_frac_Co
stability_charge,P0,discharge_formula_frac_Ni
stability_charge,P0,discharge_formula_frac_Cu
stability_charge,P0,discharge_formula_frac_V
stability_charge,P0,discharge_formula_frac_Ti
stability_charge,P0,discharge_formula_frac_Cr
stability_charge,P0,discharge_formula_frac_Al
stability_charge,P0,discharge_formula_frac_Mg
stability_charge,P0,discharge_formula_frac_Ca
stability_charge,P0,discharge_formula_frac_Zn
stability_charge,P0,discharge_formula_frac_Ag
stability_charge,P0,discharge_formula_frac_As
stability_charge,P0,discharge_formula_Z_mean
stability_charge,P0,discharge_formula_Z_min
stability_charge,P0,discharge_formula_Z_max
stability_charge,P0,discharge_formula_Z_range
stability_charge,P0,discharge_formula_Z_std
stability_charge,P0,discharge_formula_atomic_mass_mean
stability_charge,P0,discharge_formula_atomic_mass_min
stability_charge,P0,discharge_formula_atomic_mass_max
stability_charge,P0,discharge_formula_atomic_mass_range
stability_charge,P0,discharge_formula_atomic_mass_std
stability_charge,P0,discharge_formula_X_mean
stability_charge,P0,discharge_formula_X_min
stability_charge,P0,discharge_formula_X_max
stability_charge,P0,discharge_formula_X_range
stability_charge,P0,discharge_formula_X_std
stability_charge,P0,discharge_formula_row_mean
stability_charge,P0,discharge_formula_row_min
stability_charge,P0,discharge_formula_row_max
stability_charge,P0,discharge_formula_row_range
stability_charge,P0,discharge_formula_row_std
stability_charge,P0,discharge_formula_group_mean
stability_charge,P0,discharge_formula_group_min
stability_charge,P0,discharge_formula_group_max
stability_charge,P0,discharge_formula_group_range
stability_charge,P0,discharge_formula_group_std
stability_charge,P0,discharge_formula_has_O
stability_charge,P0,discharge_formula_has_F
stability_charge,P0,discharge_formula_has_P
stability_charge,P0,discharge_formula_has_S
stability_charge,P0,discharge_formula_has_Si
stability_charge,P0,discharge_formula_has_C
stability_charge,P0,discharge_formula_has_N
stability_charge,P0,discharge_formula_has_Cl
stability_charge,P0,discharge_formula_has_Br
stability_charge,P0,discharge_formula_has_I
stability_charge,P0,discharge_formula_n_transition_metals
stability_charge,P0,discharge_formula_frac_transition_metals
stability_charge,P0,wi_Z
stability_charge,P0,wi_atomic_mass
stability_charge,P0,wi_X
stability_charge,P0,wi_row
stability_charge,P0,wi_group
stability_charge,P0,stoich_wi_amount_charge
stability_charge,P0,stoich_wi_amount_discharge
stability_charge,P0,stoich_wi_amount_delta
stability_charge,P0,stoich_abs_wi_amount_delta
stability_charge,P0,stored_fracA_delta
stability_charge,P0,stored_abs_fracA_delta
stability_charge,P0,charge_summary_formation_energy_per_atom
stability_charge,P0,charge_summary_is_metal
stability_charge,P0,charge_summary_volume
stability_charge,P0,charge_summary_theoretical
stability_charge,P0,charge_summary_energy_above_hull
stability_charge,P0,charge_summary_density
stability_charge,P0,charge_summary_nsites
stability_charge,P0,charge_summary_density_atomic
stability_charge,P0,charge_summary_band_gap
stability_charge,P0,charge_summary_is_stable
stability_charge,P0,charge_summary_symmetry_number
stability_charge,P0,discharge_summary_formation_energy_per_atom
stability_charge,P0,discharge_summary_is_metal
stability_charge,P0,discharge_summary_volume
stability_charge,P0,discharge_summary_theoretical
stability_charge,P0,discharge_summary_energy_above_hull
stability_charge,P0,discharge_summary_density
stability_charge,P0,discharge_summary_nsites
stability_charge,P0,discharge_summary_density_atomic
stability_charge,P0,discharge_summary_band_gap
stability_charge,P0,discharge_summary_is_stable
stability_charge,P0,discharge_summary_symmetry_number
stability_charge,P0,charge_summary_volume_per_site
stability_charge,P0,discharge_summary_volume_per_site
stability_charge,P0,summary_delta_volume_fraction
stability_charge,P0,summary_abs_delta_volume_fraction
stability_charge,P0,summary_delta_formation_energy_per_atom
stability_charge,P0,summary_abs_delta_formation_energy_per_atom
stability_charge,P0,summary_delta_energy_above_hull
stability_charge,P0,summary_abs_delta_energy_above_hull
stability_charge,P0,summary_delta_density
stability_charge,P0,summary_abs_delta_density
stability_charge,P0,summary_delta_density_atomic
stability_charge,P0,summary_abs_delta_density_atomic
stability_charge,P0,summary_delta_band_gap
stability_charge,P0,summary_abs_delta_band_gap
stability_charge,P0,summary_delta_volume_per_site
stability_charge,P0,summary_abs_delta_volume_per_site
stability_charge,P0,summary_worst_energy_above_hull
