target,protocol,feature
capacity_grav,P0,fw_has_F
capacity_grav,P0,fw_has_P
capacity_grav,P0,fw_has_S
capacity_grav,P0,fw_has_Si
capacity_grav,P0,fw_has_C
capacity_grav,P0,fw_has_N
capacity_grav,P0,fw_has_Cl
capacity_grav,P0,fw_has_Br
capacity_grav,P0,fw_has_I
capacity_grav,P0,fw_n_transition_metals
capacity_grav,P0,fw_frac_transition_metals
capacity_grav,P0,charge_formula_parse_ok
capacity_grav,P0,charge_formula_n_elements
capacity_grav,P0,charge_formula_n_atoms
capacity_grav,P0,charge_formula_frac_Li
capacity_grav,P0,charge_formula_frac_Na
capacity_grav,P0,charge_formula_frac_K
capacity_grav,P0,charge_formula_frac_O
capacity_grav,P0,charge_formula_frac_F
capacity_grav,P0,charge_formula_frac_P
capacity_grav,P0,charge_formula_frac_S
capacity_grav,P0,charge_formula_frac_Si
capacity_grav,P0,charge_formula_frac_C
capacity_grav,P0,charge_formula_frac_N
capacity_grav,P0,charge_formula_frac_B
capacity_grav,P0,charge_formula_frac_Cl
capacity_grav,P0,charge_formula_frac_Br
capacity_grav,P0,charge_formula_frac_I
capacity_grav,P0,charge_formula_frac_Mn
capacity_grav,P0,charge_formula_frac_Fe
capacity_grav,P0,charge_formula_frac_Co
capacity_grav,P0,charge_formula_frac_Ni
capacity_grav,P0,charge_formula_frac_Cu
capacity_grav,P0,charge_formula_frac_V
capacity_grav,P0,charge_formula_frac_Ti
capacity_grav,P0,charge_formula_frac_Cr
capacity_grav,P0,charge_formula_frac_Al
capacity_grav,P0,charge_formula_frac_Mg
capacity_grav,P0,charge_formula_frac_Ca
capacity_grav,P0,charge_formula_frac_Zn
capacity_grav,P0,charge_formula_frac_Ag
capacity_grav,P0,charge_formula_frac_As
capacity_grav,P0,charge_formula_Z_mean
capacity_grav,P0,charge_formula_Z_min
capacity_grav,P0,charge_formula_Z_max
capacity_grav,P0,charge_formula_Z_range
capacity_grav,P0,charge_formula_Z_std
capacity_grav,P0,charge_formula_atomic_mass_mean
capacity_grav,P0,charge_formula_atomic_mass_min
capacity_grav,P0,charge_formula_atomic_mass_max
capacity_grav,P0,charge_formula_atomic_mass_range
capacity_grav,P0,charge_formula_atomic_mass_std
capacity_grav,P0,charge_formula_X_mean
capacity_grav,P0,charge_formula_X_min
capacity_grav,P0,charge_formula_X_max
capacity_grav,P0,charge_formula_X_range
capacity_grav,P0,charge_formula_X_std
capacity_grav,P0,charge_formula_row_mean
capacity_grav,P0,charge_formula_row_min
capacity_grav,P0,charge_formula_row_max
capacity_grav,P0,charge_formula_row_range
capacity_grav,P0,charge_formula_row_std
capacity_grav,P0,charge_formula_group_mean
capacity_grav,P0,charge_formula_group_min
capacity_grav,P0,charge_formula_group_max
capacity_grav,P0,charge_formula_group_range
capacity_grav,P0,charge_formula_group_std
capacity_grav,P0,charge_formula_has_O
capacity_grav,P0,charge_formula_has_F
capacity_grav,P0,charge_formula_has_P
capacity_grav,P0,charge_formula_has_S
capacity_grav,P0,charge_formula_has_Si
capacity_grav,P0,charge_formula_has_C
capacity_grav,P0,charge_formula_has_N
capacity_grav,P0,charge_formula_has_Cl
capacity_grav,P0,charge_formula_has_Br
capacity_grav,P0,charge_formula_has_I
capacity_grav,P0,charge_formula_n_transition_metals
capacity_grav,P0,charge_formula_frac_transition_metals
capacity_grav,P0,discharge_formula_parse_ok
capacity_grav,P0,discharge_formula_n_elements
capacity_grav,P0,discharge_formula_n_atoms
capacity_grav,P0,discharge_formula_frac_Li
capacity_grav,P0,discharge_formula_frac_Na
capacity_grav,P0,discharge_formula_frac_K
capacity_grav,P0,discharge_formula_frac_O
capacity_grav,P0,discharge_formula_frac_F
capacity_grav,P0,discharge_formula_frac_P
capacity_grav,P0,discharge_formula_frac_S
capacity_grav,P0,discharge_formula_frac_Si
capacity_grav,P0,discharge_formula_frac_C
capacity_grav,P0,discharge_formula_frac_N
capacity_grav,P0,discharge_formula_frac_B
capacity_grav,P0,discharge_formula_frac_Cl
capacity_grav,P0,discharge_formula_frac_Br
capacity_grav,P0,discharge_formula_frac_I
capacity_grav,P0,discharge_formula_frac_Mn
capacity_grav,P0,discharge_formula_frac_Fe
capacity_grav,P0,discharge_formula_frac_Co
capacity_grav,P0,discharge_formula_frac_Ni
capacity_grav,P0,discharge_formula_frac_Cu
capacity_grav,P0,discharge_formula_frac_V
capacity_grav,P0,discharge_formula_frac_Ti
capacity_grav,P0,discharge_formula_frac_Cr
capacity_grav,P0,discharge_formula_frac_Al
capacity_grav,P0,discharge_formula_frac_Mg
capacity_grav,P0,discharge_formula_frac_Ca
capacity_grav,P0,discharge_formula_frac_Zn
capacity_grav,P0,discharge_formula_frac_Ag
capacity_grav,P0,discharge_formula_frac_As
capacity_grav,P0,discharge_formula_Z_mean
capacity_grav,P0,discharge_formula_Z_min
capacity_grav,P0,discharge_formula_Z_max
capacity_grav,P0,discharge_formula_Z_range
capacity_grav,P0,discharge_formula_Z_std
capacity_grav,P0,discharge_formula_atomic_mass_mean
capacity_grav,P0,discharge_formula_atomic_mass_min
capacity_grav,P0,discharge_formula_atomic_mass_max
capacity_grav,P0,discharge_formula_atomic_mass_range
capacity_grav,P0,discharge_formula_atomic_mass_std
capacity_grav,P0,discharge_formula_X_mean
capacity_grav,P0,discharge_formula_X_min
capacity_grav,P0,discharge_formula_X_max
capacity_grav,P0,discharge_formula_X_range
capacity_grav,P0,discharge_formula_X_std
capacity_grav,P0,discharge_formula_row_mean
capacity_grav,P0,discharge_formula_row_min
capacity_grav,P0,discharge_formula_row_max
capacity_grav,P0,discharge_formula_row_range
capacity_grav,P0,discharge_formula_row_std
capacity_grav,P0,discharge_formula_group_mean
capacity_grav,P0,discharge_formula_group_min
capacity_grav,P0,discharge_formula_group_max
capacity_grav,P0,discharge_formula_group_range
capacity_grav,P0,discharge_formula_group_std
capacity_grav,P0,discharge_formula_has_O
capacity_grav,P0,discharge_formula_has_F
capacity_grav,P0,discharge_formula_has_P
capacity_grav,P0,discharge_formula_has_S
capacity_grav,P0,discharge_formula_has_Si
capacity_grav,P0,discharge_formula_has_C
capacity_grav,P0,discharge_formula_has_N
capacity_grav,P0,discharge_formula_has_Cl
capacity_grav,P0,discharge_formula_has_Br
capacity_grav,P0,discharge_formula_has_I
capacity_grav,P0,discharge_formula_n_transition_metals
capacity_grav,P0,discharge_formula_frac_transition_metals
capacity_grav,P0,wi_Z
capacity_grav,P0,wi_atomic_mass
capacity_grav,P0,wi_X
capacity_grav,P0,wi_row
capacity_grav,P0,wi_group
capacity_grav,P0,stoich_wi_amount_charge
capacity_grav,P0,stoich_wi_amount_discharge
capacity_grav,P0,stoich_wi_amount_delta
capacity_grav,P0,stoich_abs_wi_amount_delta
capacity_grav,P0,stored_fracA_delta
capacity_grav,P0,stored_abs_fracA_delta
capacity_grav,P0,charge_summary_formation_energy_per_atom
capacity_grav,P0,charge_summary_is_metal
capacity_grav,P0,charge_summary_volume
capacity_grav,P0,charge_summary_theoretical
capacity_grav,P0,charge_summary_energy_above_hull
capacity_grav,P0,charge_summary_density
capacity_grav,P0,charge_summary_nsites
capacity_grav,P0,charge_summary_density_atomic
capacity_grav,P0,charge_summary_band_gap
capacity_grav,P0,charge_summary_is_stable
capacity_grav,P0,charge_summary_symmetry_number
capacity_grav,P0,discharge_summary_formation_energy_per_atom
capacity_grav,P0,discharge_summary_is_metal
capacity_grav,P0,discharge_summary_volume
capacity_grav,P0,discharge_summary_theoretical
capacity_grav,P0,discharge_summary_energy_above_hull
capacity_grav,P0,discharge_summary_density
capacity_grav,P0,discharge_summary_nsites
capacity_grav,P0,discharge_summary_density_atomic
capacity_grav,P0,discharge_summary_band_gap
capacity_grav,P0,discharge_summary_is_stable
capacity_grav,P0,discharge_summary_symmetry_number
capacity_grav,P0,charge_summary_volume_per_site
capacity_grav,P0,discharge_summary_volume_per_site
capacity_grav,P0,summary_delta_volume_fraction
capacity_grav,P0,summary_abs_delta_volume_fraction
capacity_grav,P0,summary_delta_formation_energy_per_atom
capacity_grav,P0,summary_abs_delta_formation_energy_per_atom
capacity_grav,P0,summary_delta_energy_above_hull
capacity_grav,P0,summary_abs_delta_energy_above_hull
capacity_grav,P0,summary_delta_density
capacity_grav,P0,summary_abs_delta_density
capacity_grav,P0,summary_delta_density_atomic
capacity_grav,P0,summary_abs_delta_density_atomic
capacity_grav,P0,summary_delta_band_gap
capacity_grav,P0,summary_abs_delta_band_gap
capacity_grav,P0,summary_delta_volume_per_site
capacity_grav,P0,summary_abs_delta_volume_per_site
capacity_grav,P0,summary_worst_energy_above_hull
