target,protocol,feature
energy_vol,P2,fw_parse_ok
energy_vol,P2,fw_n_elements
energy_vol,P2,fw_n_atoms
energy_vol,P2,fw_frac_Li
energy_vol,P2,fw_frac_Na
energy_vol,P2,fw_frac_K
energy_vol,P2,fw_frac_O
energy_vol,P2,fw_frac_F
energy_vol,P2,fw_frac_P
energy_vol,P2,fw_frac_S
energy_vol,P2,fw_frac_Si
energy_vol,P2,fw_frac_C
energy_vol,P2,fw_frac_N
energy_vol,P2,fw_frac_B
energy_vol,P2,fw_frac_Cl
energy_vol,P2,fw_frac_Br
energy_vol,P2,fw_frac_I
energy_vol,P2,fw_frac_Mn
energy_vol,P2,fw_frac_Fe
energy_vol,P2,fw_frac_Co
energy_vol,P2,fw_frac_Ni
energy_vol,P2,fw_frac_Cu
energy_vol,P2,fw_frac_V
energy_vol,P2,fw_frac_Ti
energy_vol,P2,fw_frac_Cr
energy_vol,P2,fw_frac_Al
energy_vol,P2,fw_frac_Mg
energy_vol,P2,fw_frac_Ca
energy_vol,P2,fw_frac_Zn
energy_vol,P2,fw_frac_Ag
energy_vol,P2,fw_frac_As
energy_vol,P2,fw_Z_mean
energy_vol,P2,fw_Z_min
energy_vol,P2,fw_Z_max
energy_vol,P2,fw_Z_range
energy_vol,P2,fw_Z_std
energy_vol,P2,fw_atomic_mass_mean
energy_vol,P2,fw_atomic_mass_min
energy_vol,P2,fw_atomic_mass_max
energy_vol,P2,fw_atomic_mass_range
energy_vol,P2,fw_atomic_mass_std
energy_vol,P2,fw_X_mean
energy_vol,P2,fw_X_min
energy_vol,P2,fw_X_max
energy_vol,P2,fw_X_range
energy_vol,P2,fw_X_std
energy_vol,P2,fw_row_mean
energy_vol,P2,fw_row_min
energy_vol,P2,fw_row_max
energy_vol,P2,fw_row_range
energy_vol,P2,fw_row_std
energy_vol,P2,fw_group_mean
energy_vol,P2,fw_group_min
energy_vol,P2,fw_group_max
energy_vol,P2,fw_group_range
energy_vol,P2,fw_group_std
energy_vol,P2,fw_has_O
energy_vol,P2,fw_has_F
energy_vol,P2,fw_has_P
energy_vol,P2,fw_has_S
energy_vol,P2,fw_has_Si
energy_vol,P2,fw_has_C
energy_vol,P2,fw_has_N
energy_vol,P2,fw_has_Cl
energy_vol,P2,fw_has_Br
energy_vol,P2,fw_has_I
energy_vol,P2,fw_n_transition_metals
energy_vol,P2,fw_frac_transition_metals
energy_vol,P2,wi_Z
energy_vol,P2,wi_atomic_mass
energy_vol,P2,wi_X
energy_vol,P2,wi_row
energy_vol,P2,wi_group
energy_vol,P2,charge_summary_volume
energy_vol,P2,charge_summary_density
energy_vol,P2,charge_summary_nsites
energy_vol,P2,charge_summary_density_atomic
energy_vol,P2,charge_summary_symmetry_number
energy_vol,P2,discharge_summary_volume
energy_vol,P2,discharge_summary_density
energy_vol,P2,discharge_summary_nsites
energy_vol,P2,discharge_summary_density_atomic
energy_vol,P2,discharge_summary_symmetry_number
energy_vol,P2,charge_summary_volume_per_site
energy_vol,P2,discharge_summary_volume_per_site
energy_vol,P2,summary_delta_volume_fraction
energy_vol,P2,summary_abs_delta_volume_fraction
energy_vol,P2,summary_delta_density
energy_vol,P2,summary_abs_delta_density
energy_vol,P2,summary_delta_density_atomic
energy_vol,P2,summary_abs_delta_density_atomic
energy_vol,P2,summary_delta_volume_per_site
energy_vol,P2,summary_abs_delta_volume_per_site
