target,protocol,feature
energy_vol,P0,charge_formula_frac_Mg
energy_vol,P0,charge_formula_frac_Ca
energy_vol,P0,charge_formula_frac_Zn
energy_vol,P0,charge_formula_frac_Ag
energy_vol,P0,charge_formula_frac_As
energy_vol,P0,charge_formula_Z_mean
energy_vol,P0,charge_formula_Z_min
energy_vol,P0,charge_formula_Z_max
energy_vol,P0,charge_formula_Z_range
energy_vol,P0,charge_formula_Z_std
energy_vol,P0,charge_formula_atomic_mass_mean
energy_vol,P0,charge_formula_atomic_mass_min
energy_vol,P0,charge_formula_atomic_mass_max
energy_vol,P0,charge_formula_atomic_mass_range
energy_vol,P0,charge_formula_atomic_mass_std
energy_vol,P0,charge_formula_X_mean
energy_vol,P0,charge_formula_X_min
energy_vol,P0,charge_formula_X_max
energy_vol,P0,charge_formula_X_range
energy_vol,P0,charge_formula_X_std
energy_vol,P0,charge_formula_row_mean
energy_vol,P0,charge_formula_row_min
energy_vol,P0,charge_formula_row_max
energy_vol,P0,charge_formula_row_range
energy_vol,P0,charge_formula_row_std
energy_vol,P0,charge_formula_group_mean
energy_vol,P0,charge_formula_group_min
energy_vol,P0,charge_formula_group_max
energy_vol,P0,charge_formula_group_range
energy_vol,P0,charge_formula_group_std
energy_vol,P0,charge_formula_has_O
energy_vol,P0,charge_formula_has_F
energy_vol,P0,charge_formula_has_P
energy_vol,P0,charge_formula_has_S
energy_vol,P0,charge_formula_has_Si
energy_vol,P0,charge_formula_has_C
energy_vol,P0,charge_formula_has_N
energy_vol,P0,charge_formula_has_Cl
energy_vol,P0,charge_formula_has_Br
energy_vol,P0,charge_formula_has_I
energy_vol,P0,charge_formula_n_transition_metals
energy_vol,P0,charge_formula_frac_transition_metals
energy_vol,P0,discharge_formula_parse_ok
energy_vol,P0,discharge_formula_n_elements
energy_vol,P0,discharge_formula_n_atoms
energy_vol,P0,discharge_formula_frac_Li
energy_vol,P0,discharge_formula_frac_Na
energy_vol,P0,discharge_formula_frac_K
energy_vol,P0,discharge_formula_frac_O
energy_vol,P0,discharge_formula_frac_F
energy_vol,P0,discharge_formula_frac_P
energy_vol,P0,discharge_formula_frac_S
energy_vol,P0,discharge_formula_frac_Si
energy_vol,P0,discharge_formula_frac_C
energy_vol,P0,discharge_formula_frac_N
energy_vol,P0,discharge_formula_frac_B
energy_vol,P0,discharge_formula_frac_Cl
energy_vol,P0,discharge_formula_frac_Br
energy_vol,P0,discharge_formula_frac_I
energy_vol,P0,discharge_formula_frac_Mn
energy_vol,P0,discharge_formula_frac_Fe
energy_vol,P0,discharge_formula_frac_Co
energy_vol,P0,discharge_formula_frac_Ni
energy_vol,P0,discharge_formula_frac_Cu
energy_vol,P0,discharge_formula_frac_V
energy_vol,P0,discharge_formula_frac_Ti
energy_vol,P0,discharge_formula_frac_Cr
energy_vol,P0,discharge_formula_frac_Al
energy_vol,P0,discharge_formula_frac_Mg
energy_vol,P0,discharge_formula_frac_Ca
energy_vol,P0,discharge_formula_frac_Zn
energy_vol,P0,discharge_formula_frac_Ag
energy_vol,P0,discharge_formula_frac_As
energy_vol,P0,discharge_formula_Z_mean
energy_vol,P0,discharge_formula_Z_min
energy_vol,P0,discharge_formula_Z_max
energy_vol,P0,discharge_formula_Z_range
energy_vol,P0,discharge_formula_Z_std
energy_vol,P0,discharge_formula_atomic_mass_mean
energy_vol,P0,discharge_formula_atomic_mass_min
energy_vol,P0,discharge_formula_atomic_mass_max
energy_vol,P0,discharge_formula_atomic_mass_range
energy_vol,P0,discharge_formula_atomic_mass_std
energy_vol,P0,discharge_formula_X_mean
energy_vol,P0,discharge_formula_X_min
energy_vol,P0,discharge_formula_X_max
energy_vol,P0,discharge_formula_X_range
energy_vol,P0,discharge_formula_X_std
energy_vol,P0,discharge_formula_row_mean
energy_vol,P0,discharge_formula_row_min
energy_vol,P0,discharge_formula_row_max
energy_vol,P0,discharge_formula_row_range
energy_vol,P0,discharge_formula_row_std
energy_vol,P0,discharge_formula_group_mean
energy_vol,P0,discharge_formula_group_min
energy_vol,P0,discharge_formula_group_max
energy_vol,P0,discharge_formula_group_range
energy_vol,P0,discharge_formula_group_std
energy_vol,P0,discharge_formula_has_O
energy_vol,P0,discharge_formula_has_F
energy_vol,P0,discharge_formula_has_P
energy_vol,P0,discharge_formula_has_S
energy_vol,P0,discharge_formula_has_Si
energy_vol,P0,discharge_formula_has_C
energy_vol,P0,discharge_formula_has_N
energy_vol,P0,discharge_formula_has_Cl
energy_vol,P0,discharge_formula_has_Br
energy_vol,P0,discharge_formula_has_I
energy_vol,P0,discharge_formula_n_transition_metals
energy_vol,P0,discharge_formula_frac_transition_metals
energy_vol,P0,wi_Z
energy_vol,P0,wi_atomic_mass
energy_vol,P0,wi_X
energy_vol,P0,wi_row
energy_vol,P0,wi_group
energy_vol,P0,stoich_wi_amount_charge
energy_vol,P0,stoich_wi_amount_discharge
energy_vol,P0,stoich_wi_amount_delta
energy_vol,P0,stoich_abs_wi_amount_delta
energy_vol,P0,stored_fracA_delta
energy_vol,P0,stored_abs_fracA_delta
energy_vol,P0,charge_summary_formation_energy_per_atom
energy_vol,P0,charge_summary_is_metal
energy_vol,P0,charge_summary_volume
energy_vol,P0,charge_summary_theoretical
energy_vol,P0,charge_summary_energy_above_hull
energy_vol,P0,charge_summary_density
energy_vol,P0,charge_summary_nsites
energy_vol,P0,charge_summary_density_atomic
energy_vol,P0,charge_summary_band_gap
energy_vol,P0,charge_summary_is_stable
energy_vol,P0,charge_summary_symmetry_number
energy_vol,P0,discharge_summary_formation_energy_per_atom
energy_vol,P0,discharge_summary_is_metal
energy_vol,P0,discharge_summary_volume
energy_vol,P0,discharge_summary_theoretical
energy_vol,P0,discharge_summary_energy_above_hull
energy_vol,P0,discharge_summary_density
energy_vol,P0,discharge_summary_nsites
energy_vol,P0,discharge_summary_density_atomic
energy_vol,P0,discharge_summary_band_gap
energy_vol,P0,discharge_summary_is_stable
energy_vol,P0,discharge_summary_symmetry_number
energy_vol,P0,charge_summary_volume_per_site
energy_vol,P0,discharge_summary_volume_per_site
energy_vol,P0,summary_delta_volume_fraction
energy_vol,P0,summary_abs_delta_volume_fraction
energy_vol,P0,summary_delta_formation_energy_per_atom
energy_vol,P0,summary_abs_delta_formation_energy_per_atom
energy_vol,P0,summary_delta_energy_above_hull
energy_vol,P0,summary_abs_delta_energy_above_hull
energy_vol,P0,summary_delta_density
energy_vol,P0,summary_abs_delta_density
energy_vol,P0,summary_delta_density_atomic
energy_vol,P0,summary_abs_delta_density_atomic
energy_vol,P0,summary_delta_band_gap
energy_vol,P0,summary_abs_delta_band_gap
energy_vol,P0,summary_delta_volume_per_site
energy_vol,P0,summary_abs_delta_volume_per_site
energy_vol,P0,summary_worst_energy_above_hull
