target,target_unit,protocol,protocol_name,n_features,n_L0,n_L1,n_L2,n_L3,n_L4,n_L5,feature_origin_counts_json,feature_list_csv,feature_list_json
capacity_vol,mAh/cm3,P1,composition_only_clean,73,73,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_capacity_vol.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_capacity_vol.json
capacity_vol,mAh/cm3,P2,composition_plus_relaxed_structure_clean_strict,93,93,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""relaxed_structure_summary"": 20}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_capacity_vol.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_capacity_vol.json
capacity_vol,mAh/cm3,P3,post_DFT_decision_support_clean_target_specific,112,95,0,0,0,17,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""relaxed_structure_summary"": 20, ""stored_electrode_process_descriptor"": 2}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_capacity_vol.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_capacity_vol.json
capacity_vol,mAh/cm3,P4,leakage_stress_test,267,96,1,3,143,24,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 9}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_capacity_vol.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_capacity_vol.json
energy_grav,Wh/kg,P0,full_feature_leaky_baseline_no_direct_target,266,96,0,8,143,19,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 8}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_energy_grav.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_energy_grav.json
energy_grav,Wh/kg,P1,composition_only_clean,73,73,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_energy_grav.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P1_features_for_target_energy_grav.json
energy_grav,Wh/kg,P2,composition_plus_relaxed_structure_clean_strict,93,93,0,0,0,0,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""relaxed_structure_summary"": 20}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_energy_grav.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P2_features_for_target_energy_grav.json
energy_grav,Wh/kg,P3,post_DFT_decision_support_clean_target_specific,108,95,0,0,0,13,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 7, ""relaxed_structure_summary"": 20, ""stored_electrode_process_descriptor"": 2}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_energy_grav.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P3_features_for_target_energy_grav.json
energy_grav,Wh/kg,P4,leakage_stress_test,267,96,1,8,143,19,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 9}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_energy_grav.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P4_features_for_target_energy_grav.json
energy_vol,Wh/L_or_Wh/dm3_database_dependent,P0,full_feature_leaky_baseline_no_direct_target,266,96,0,8,143,19,0,"{""composition_known_framework"": 68, ""composition_known_working_ion"": 5, ""other_numeric"": 1, ""post_dft_electronic_summary"": 6, ""post_dft_energy_stability_summary"": 11, ""post_dft_provenance_flag"": 2, ""relaxed_structure_summary"": 20, ""stoichiometric_window"": 143, ""stored_electrode_process_descriptor"": 2, ""stored_electrode_target"": 8}",${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_energy_vol.csv,${CMT_REPOSITORY_ROOT}\notebook_02\processed\protocol_feature_lists\02_protocol_P0_features_for_target_energy_vol.json
